94804487 368853 72498 21516 8280 3826 2169 1285 846 550 404 245 179 125 100 81 64 49 47 37 32 17 0
1443062 79582 22370 9456 5005 3067 2207 1665 1375 959 739 583 443 346 306 257 198 233 223 205 183 99 9
622005 54281 14566 5979 3282 2512 1958 1598 1355 1186 968 791 685 625 511 529 469 642 590 545 402 314 111
336200 41199 11564 4333 2441 1789 1483 1308 1253 1083 961 879 780 730 652 791 814 949 1123 1205 873 742 206
201490 32803 9482 3555 1753 1201 1078 1018 936 941 872 782 833 862 907 934 1176 1510 1714 1691 1534 1128 446
128570 26058 8190 2995 1319 907 768 717 715 659 724 720 711 819 921 1177 1437 1928 2255 2393 2246 1490 685
85793 22516 7408 2561 1043 594 485 487 493 523 528 591 639 753 860 1185 1634 2306 2740 2931 2849 1976 874
60646 19089 6391 2517 962 497 377 301 319 315 409 470 471 592 797 1113 1558 2305 2956 3391 3010 2221 1025
44479 16297 6103 2423 951 420 242 176 219 242 291 330 349 440 609 1029 1571 2433 3044 3366 3640 2464 1045
33894 14280 5754 2213 934 395 237 136 147 165 164 214 219 349 531 834 1484 2210 2822 3474 3658 2540 1131
26644 12636 5454 2282 930 348 198 107 85 99 89 169 213 292 483 825 1161 1846 2730 3297 3648 2665 1195
21129 11004 5463 2305 992 387 164 95 94 70 77 120 145 222 352 637 1043 1620 2523 2962 3224 2659 1141
17371 10176 5203 2234 957 428 125 79 61 38 69 110 107 160 287 593 931 1571 2131 2724 3160 2512 1249
14328 9329 4995 2370 1090 465 171 93 48 39 22 67 59 155 228 511 752 1368 1969 2647 2752 2385 1243
11990 8688 4857 2435 1039 442 155 87 32 19 42 39 59 87 189 409 695 1210 1835 2355 2881 2424 1196
10239 7898 4638 2380 1061 480 191 84 48 17 30 46 64 99 136 284 677 1150 1754 2363 2834 2332 1384
8823 7231 4639 2316 1171 471 193 83 52 24 30 16 62 99 137 295 544 1026 1600 2203 2879 2606 1403
7698 6610 4176 2299 1170 420 197 91 48 29 29 47 31 56 118 217 526 968 1608 2307 2915 2618 1429
6522 6088 4035 2439 1116 536 211 133 69 32 31 37 45 54 111 264 447 876 1428 2135 2812 2820 1757
5599 5640 3998 2157 1018 546 229 135 68 38 16 35 27 58 80 219 421 903 1511 2158 2733 2750 1840
4986 5035 3735 2166 1179 557 266 129 74 27 31 20 34 64 67 233 430 846 1414 2182 2981 2939 1965
4381 4770 3512 2068 1165 543 214 147 76 37 24 22 23 44 77 173 359 791 1385 2128 2997 3175 2149
3803 4495 3340 2090 1130 514 274 118 87 28 22 32 28 52 63 168 372 733 1251 2210 2986 3392 2372
3421 4157 3304 2023 1161 588 255 111 58 37 23 32 33 40 87 189 338 673 1255 2052 3112 3441 2622
2977 3699 3021 2061 1164 616 279 124 68 35 38 17 34 42 59 174 340 637 1321 2067 2958 3672 2767
2475 3336 2799 1818 1103 604 276 141 72 35 37 29 16 38 56 143 290 608 1241 2176 3196 3761 3181
2216 3100 2643 1953 1164 648 275 115 63 49 25 24 13 27 64 120 259 573 1111 1961 3137 4094 3239
2079 2805 2536 1822 1063 557 321 132 62 36 23 22 30 37 65 110 262 495 1116 1809 2968 4075 3598
1686 2401 2304 1775 1096 631 336 168 51 52 15 14 22 34 62 112 215 522 1110 1944 3064 4074 3944
1526 2099 2174 1604 1073 712 262 137 53 43 25 43 16 26 65 119 208 444 918 1877 3086 4465 4149
1289 2094 2040 1536 1021 626 354 167 61 39 27 26 27 29 66 77 204 392 877 1955 3047 4574 4566
1047 1718 1907 1445 922 640 331 141 72 34 26 27 9 15 48 93 128 392 878 1737 2941 4473 4997
943 1521 1852 1277 966 546 307 154 60 37 41 9 9 16 31 66 155 294 915 1612 3184 4699 5698
842 1319 1665 1341 933 593 354 130 60 52 34 22 12 13 32 72 106 350 805 1627 2995 4937 5981
656 1317 1437 1060 725 555 287 182 92 35 24 7 8 13 18 57 99 317 633 1607 3012 5128 6297
598 1100 1263 1197 782 501 250 199 49 49 18 6 11 16 17 60 81 249 686 1395 2641 5075 6814
467 1058 1208 1031 729 558 241 176 77 44 22 33 14 7 12 31 66 214 571 1300 2649 5115 7731
393 936 1011 859 794 477 280 138 61 28 20 29 5 3 15 26 82 194 508 1162 2630 4887 8384
379 730 1007 779 657 413 249 170 106 36 30 23 16 5 18 27 80 182 414 1104 2447 5098 8904
305 510 774 689 480 398 224 116 71 31 7 13 13 4 5 36 82 163 385 791 2291 5075 9865
243 456 760 559 497 372 268 109 68 39 24 15 11 14 29 14 36 117 318 843 2080 5004 10597
158 328 460 393 339 262 158 97 71 25 28 44 7 3 19 11 43 99 259 735 1869 4731 11175
94 231 375 336 318 204 189 87 52 18 16 14 9 2 21 18 48 45 204 602 1858 4488 11887
75 221 273 229 214 191 91 90 39 45 10 13 27 3 4 8 32 59 159 447 1510 4007 12650
31 102 153 152 154 155 50 44 25 18 25 10 11 7 12 16 25 63 143 341 1197 3745 14258
4 75 45 109 135 75 22 43 21 18 13 10 1 2 5 3 10 33 85 327 991 3141 14980
23 40 34 25 46 51 26 33 2 14 12 15 7 8 1 2 9 38 67 247 775 2804 15957
0 0 12 10 7 4 6 4 0 0 2 1 4 0 0 0 10 17 54 180 503 2042 17182
0 0 0 6 7 0 0 0 0 2 0 17 1 0 0 1 0 3 18 79 357 1472 0
